keypoints number, detection time(ms), descriptor extraction time(ms), matches number
1370,9.19049,0.660995,
1301,8.15029,0.745268,96
1361,8.9984,0.733581,93
1358,8.53341,0.827919,92
1333,7.89912,0.426922,89
1284,6.07855,0.383765,92
1322,6.01322,0.382819,93
1366,6.3472,0.390547,85
1389,7.94732,0.436727,91
1339,6.72722,0.719449,85
