keypoints number, detection time(ms), descriptor extraction time(ms), matches number
339,8.59718,24.3818,
286,7.65963,23.6405,22
349,6.34976,23.3196,18
356,6.24293,22.8401,21
521,6.04683,22.8119,20
2611,6.31194,23.882,24
200,6.06846,22.8163,51
806,6.09231,23.1199,13
572,6.19634,22.9042,57
1471,6.23447,23.3053,42
