keypoints number, detection time(ms), descriptor extraction time(ms), matches number
1370,9.50781,0.820154,
1301,8.59923,0.798389,86
1361,8.42044,0.736929,84
1358,8.31375,0.726288,87
1333,8.79126,0.746016,91
1284,8.52503,0.782126,87
1322,8.3251,0.727202,76
1366,8.31297,0.716626,81
1389,8.60219,0.708267,88
1339,8.14241,0.669184,88
