keypoints number, detection time(ms), descriptor extraction time(ms), matches number
1351,38.7427,31.4759,
1327,38.2321,30.7055,128
1311,36.3333,30.601,128
1351,35.5254,30.3501,125
1360,37.3495,29.6717,117
1347,36.6156,30.4214,121
1363,36.5284,30.5262,132
1331,37.1584,29.1384,137
1357,35.9962,31.1382,140
1331,36.5343,29.1641,144
