keypoints number, detection time(ms), descriptor extraction time(ms), matches number
1824,0.532173,25.477,
1832,0.576425,25.1477,64
1810,0.525257,23.6529,80
1817,0.558657,23.2822,65
1793,0.519704,23.4439,79
1796,0.574418,23.3171,61
1788,0.53711,24.2989,76
1695,0.484339,23.2882,83
1749,0.531315,23.2888,77
1770,0.585267,23.3712,82
