keypoints number, detection time(ms), descriptor extraction time(ms), matches number
500,4.64338,2.7971,
500,4.34531,2.3933,40
500,4.03283,2.63375,57
500,4.17905,3.22037,49
500,4.26,2.88126,54
500,3.88189,2.75474,57
500,4.06186,2.60193,68
500,3.94275,2.63447,71
500,4.01131,2.44849,62
500,4.00856,2.47675,72
