keypoints number, detection time(ms), descriptor extraction time(ms), matches number
1824,0.641324,0.975024,
1832,0.58629,0.766512,96
1810,0.48272,0.681414,102
1817,0.481995,0.697949,87
1793,0.612733,0.59559,94
1796,0.588343,0.623771,87
1788,0.564407,0.781369,100
1695,0.573542,0.702771,101
1749,0.559881,0.714609,96
1770,0.563466,0.633099,99
