keypoints number, detection time(ms), descriptor extraction time(ms), matches number
2757,26.6502,25.2602,
2777,26.1077,24.8548,114
2741,25.7845,24.1233,121
2735,25.5655,23.8612,113
2757,25.6272,23.8004,118
2695,25.8712,23.7601,103
2715,25.8257,23.5952,129
2628,25.2817,23.5429,135
2639,25.3669,23.6687,129
2672,25.5679,23.816,131
