keypoints number, detection time(ms), descriptor extraction time(ms), matches number
2757,27.0071,3.14627,
2777,26.6958,2.82552,94
2741,27.1932,2.67054,107
2735,26.0772,2.55846,88
2757,26.4985,2.59779,97
2695,25.6043,2.74703,85
2715,25.8448,2.68526,114
2628,25.7299,2.66448,112
2639,25.4235,2.62372,114
2672,25.5504,2.73198,122
