keypoints number, detection time(ms), descriptor extraction time(ms), matches number
339,8.54078,0.621957,
286,7.83292,0.795494,20
349,7.62399,0.800353,18
356,7.80544,0.779487,32
521,7.83478,0.689113,30
2611,6.31752,0.830389,32
200,6.52296,0.643667,70
806,8.05092,0.774505,17
572,7.78686,0.79543,60
1471,7.71318,0.837704,52
