keypoints number, detection time(ms), descriptor extraction time(ms), matches number
339,8.69923,0.287341,
286,8.22619,0.725901,25
349,7.55066,0.681275,18
356,7.72795,0.579329,29
521,8.58701,0.268605,27
2611,7.07095,0.766296,27
200,6.05297,0.164438,62
806,6.67944,0.387226,15
572,6.20335,0.394741,51
1471,6.19633,0.626369,52
