keypoints number, detection time(ms), descriptor extraction time(ms), matches number
1370,9.25601,24.7259,
1301,7.92618,23.8865,66
1361,6.44384,23.2595,66
1358,5.94758,23.1169,64
1333,6.03575,22.9955,63
1284,6.19561,23.1028,62
1322,6.02038,23.3331,64
1366,6.19748,23.1762,61
1389,6.5343,22.9968,65
1339,6.05263,23.0338,63
