keypoints number, detection time(ms), descriptor extraction time(ms), matches number
500,4.81567,25.2881,
500,4.54347,24.4486,39
500,4.04312,23.4548,33
500,4.05634,23.2291,37
500,4.1161,23.0473,40
500,4.16066,23.4178,33
500,3.98135,23.1628,40
500,4.18235,23.2823,41
500,3.90484,23.216,39
500,4.02725,23.3229,44
