keypoints number, detection time(ms), descriptor extraction time(ms), matches number
2757,27.2606,0.994511,
2777,26.7661,0.680178,138
2741,25.9327,0.718774,166
2735,25.78,0.695496,129
2757,25.7357,0.697484,141
2695,25.8668,0.611736,148
2715,25.6021,0.646015,155
2628,25.1917,0.732436,158
2639,25.8177,0.639876,161
2672,25.6536,0.643969,148
